label,Beacon_1,Beacon_2,Beacon_3,Beacon_4,Beacon_5,Beacon_7
1001,0.345454545,0.4,0.781818182,0.290909091,0.763636364,0.418181818
1001,0.345454545,0.436363636,0.781818182,0.290909091,0.763636364,0.4
1001,0.345454545,0.454545455,0.745454545,0.545454545,0.763636364,0.109090909
1001,0.418181818,0.436363636,0.727272727,0.309090909,0.545454545,0.436363636
1001,0.490909091,0.490909091,0.690909091,0.309090909,0.709090909,0.309090909
1001,0.490909091,0.436363636,0.690909091,0.309090909,0.418181818,0.327272727
1001,0.490909091,0.218181818,0.709090909,0.327272727,0.363636364,0.418181818
1001,0.454545455,0.545454545,0.709090909,0.545454545,0.690909091,0.418181818
1001,0.454545455,0.454545455,0.709090909,0.381818182,0.6,0.418181818
1001,0.454545455,0.272727273,0.709090909,0.381818182,0.618181818,0.418181818
1001,0.454545455,0.509090909,0.709090909,0.381818182,0.618181818,
1001,0.309090909,0.327272727,,0.309090909,0.618181818,0.418181818
1001,0.454545455,0.418181818,0.636363636,0.436363636,0.618181818,0.454545455
1001,0.236363636,0.509090909,0.727272727,0.436363636,0.490909091,0.4
1001,0.290909091,0.527272727,0.781818182,0.272727273,0.636363636,0.290909091
1001,0.4,0.418181818,0.690909091,0.454545455,0.636363636,0.290909091
1001,0.290909091,0.436363636,0.654545455,0.254545455,0.636363636,0.418181818
1001,0.363636364,0.509090909,0.672727273,0.254545455,0.545454545,0.418181818
1001,0.418181818,0.509090909,0.672727273,0.254545455,0.545454545,0.418181818
1001,0.418181818,0.436363636,0.654545455,0.254545455,0.636363636,0.309090909
1001,0.418181818,0.4,0.618181818,0.4,0.436363636,0.436363636
1001,0.327272727,0.527272727,0.709090909,0.418181818,0.654545455,0.363636364
1001,0.381818182,0.436363636,0.654545455,0.418181818,0.709090909,0.363636364
1001,0.436363636,0.527272727,0.654545455,0.145454545,0.727272727,0.363636364
1001,0.363636364,0.527272727,0.672727273,0.436363636,0.4,0.418181818
101,0.581818182,0.218181818,0.363636364,0.418181818,0.581818182,0.527272727
101,0.581818182,0.472727273,0.363636364,0.509090909,0.4,0.490909091
101,0.581818182,0.745454545,0.363636364,0.490909091,0.527272727,0.490909091
101,0.690909091,0.4,0.363636364,0.345454545,0.527272727,0.2
101,0.6,0.4,0.436363636,0.581818182,0.527272727,0.418181818
101,0.618181818,0.636363636,0.436363636,0.545454545,0.527272727,0.363636364
101,0.418181818,0.636363636,0.309090909,0.545454545,0.527272727,0.290909091
101,0.6,0.6,0.527272727,0.509090909,0.527272727,0.418181818
101,0.636363636,0.636363636,0.418181818,0.527272727,0.527272727,0.345454545
101,0.636363636,0.636363636,0.418181818,0.527272727,0.472727273,0.345454545
101,0.490909091,0.636363636,0.363636364,0.527272727,0.472727273,0.272727273
101,0.509090909,0.527272727,0.472727273,0.545454545,0.472727273,0.290909091
101,0.654545455,0.527272727,0.327272727,0.509090909,0.436363636,0.363636364
101,0.672727273,0.690909091,0.327272727,0.509090909,0.436363636,0.290909091
101,0.618181818,0.563636364,0.327272727,0.509090909,0.527272727,0.290909091
